codigo;modelo
2472;{'codigo': 2472, 'nome': 'New Beetle 2.0 Mi Mec./Aut.'}
9150;{'codigo': 9150, 'nome': 'Nivus Comfortline 1.0 200 TSI Flex Aut.'}
9151;{'codigo': 9151, 'nome': 'Nivus Highline 1.0 200 TSI Flex Aut.'}
9152;{'codigo': 9152, 'nome': 'Nivus Launching Ed. 1.0 200 TSI Flex Aut'}
2473;{'codigo': 2473, 'nome': 'Parati 1.0 Mi FUN/ SunSet 16V 4p'}
2474;{'codigo': 2474, 'nome': 'Parati 1.0 Mi Plus 16v 4p'}
2475;{'codigo': 2475, 'nome': 'Parati 1.0 Mi Summer 16v 4p'}
2476;{'codigo': 2476, 'nome': 'Parati 1.0 Mi Tour 16V 76cv 4p'}
2500;{'codigo': 2500, 'nome': 'Parati 1.6 Mi Plus Total Flex  8V 4p'}
2477;{'codigo': 2477, 'nome': 'Parati 1.6 Mi/ 1.6 Mi City'}
2478;{'codigo': 2478, 'nome': 'Parati 1.6Mi/1.6Mi City/T.Field T.Flex'}
2479;{'codigo': 2479, 'nome': 'Parati 1.8 Mi City Total Flex 8V 4p'}
2480;{'codigo': 2480, 'nome': 'Parati 1.8 Mi CROSSOVER Total Flex 8V 4p'}
3804;{'codigo': 3804, 'nome': 'Parati 1.8 Mi Plus Total Flex 8V 4p'}
2481;{'codigo': 2481, 'nome': 'Parati 1.8 Mi T. Field Total Flex 8V 4p'}
2482;{'codigo': 2482, 'nome': 'Parati 1.8 Mi Tour 8V 99cv 4p'}
2483;{'codigo': 2483, 'nome': 'Parati 1.8 Mi/ 1.8 Mi Plus'}
2484;{'codigo': 2484, 'nome': 'Parati 1000 Mi 16V 2p e 4p'}
2485;{'codigo': 2485, 'nome': 'Parati 1000 Mi 16V 4p Turbo'}
2486;{'codigo': 2486, 'nome': 'Parati 2.0 Mi Tour 8V 112cv 4p'}
2487;{'codigo': 2487, 'nome': 'Parati 2.0 Mi/ 2.0 Mi Track & Field'}
2488;{'codigo': 2488, 'nome': 'Parati C 1.6/ CL 1.6 Mi 2p e 4p'}
2489;{'codigo': 2489, 'nome': 'Parati CL 1.8 Mi 2p e 4p'}
2490;{'codigo': 2490, 'nome': 'Parati CLi / CL/ Atlanta 1.6'}
