codigo;nome;id
6170;Ranger XLT 3.2 20V 4x4 CD Diesel;22
6171;Ranger XLT 3.2 20V 4x4 CD Diesel Aut.;22
896;Ranger XLT 4.0 12v V6 210cv 4x4 CD Repow;22
897;Ranger XLT 4.0 12v V6 210cv 4x4 CE Repow;22
898;Ranger XLT 4.0 4x2 CE;22
899;Ranger XLT 4.0 4x2 CS;22
900;Ranger XLT 4.0 4x4 CD;22
901;Ranger XLT 4.0 4x4 CE;22
902;Ranger XLT 4.0 4x4 CS;22
903;Ranger XLT Limit./L.Cent. 2.8 CD TB Dies;22
904;Royale Ghia 2.0/2.0i 2p e 4p;22
905;Royale GL 1.8/1.8i  2p e 4p;22
906;Royale GL 2.0/2.0i 2p e 4p;22
907;Taurus GL 3.0 V6;22
908;Taurus GL SW 3.0 V6 24V;22
909;Taurus L/LX 3.0 V6;22
910;Taurus LX SW 3.0 V6 24V;22
911;Taurus SHO 3.0 V6;22
9163;TERRITORY SEL 1.5 GTDi EcoBoost Aut.;22
9164;TERRITORY Titanium 1.5 GTDi EcoBo. Aut.;22
912;Thunderbird SC 3.8 V6;22
6202;TRANSIT Chassi 2.2 TDCI Diesel;22
5247;TRANSIT Chassi 2.4 TDCI Diesel;22
10838;TRANSIT Chassi 350E 2.0 EcoBule Diesel;22
10839;TRANSIT Chassi 470E 2.0 EcoBule Diesel;22
9839;TRANSIT Furgão 2.0 Curto Turbo Diesel;22
10638;TRANSIT Furgão 2.0 Longo Turbo Die Aut.;22
9840;TRANSIT Furgão 2.0 Longo Turbo Diesel ;22
6383;TRANSIT Furgão 2.2 TDCI Curto Diesel;22
6296;TRANSIT Furgão 2.2 TDCI Longa Diesel;22
5884;TRANSIT Furgão 2.2 TDCI Longo Jumbo Dies;22
4838;TRANSIT Furgão 3330 2.4 TDCI Curto Dies.;22
4839;TRANSIT Furgão 3550 2.4 TDCI Longo Dies.;22
10639;TRANSIT Minibus 15 Lug. 2.0 16V Die Aut.;22
9650;TRANSIT Minibus 15 Lug. 2.0 16V Diesel;22
10640;TRANSIT Minibus 18 Lug. 2.0 16V Die Aut.;22
9651;TRANSIT Minibus 18 Lug. 2.0 16V Diesel;22
10641;TRANSIT Minibus Vidrada 2.0 16V Die Aut.;22
9652;TRANSIT Minibus Vidrada 2.0 16V Diesel;22
6203;TRANSIT Van 3550 2.2 TDCI 14/16lug. Dies;22
4840;TRANSIT Van 3550 2.4 TDCI 14lug. Diesel;22
913;Verona Ghia 2.0i 4p;22
914;Verona GL 1.8i / LX 1.8i 4p;22
915;Verona GLX 1.8 (Modelo antigo);22
916;Verona GLX 1.8i / 1.8 4p;22
917;Verona GLX 2.0i / 2.0 4p;22
918;Verona LX 1.6 (Modelo antigo);22
919;Verona LX 1.8 (Modelo antigo);22
920;Verona S 2.0i 4p;22
921;Versailles Ghia 2.0i / 2.0 2p e 4p;22
922;Versailles GL 1.8i / 1.8 2p e 4p;22
923;Versailles GL 2.0i / 2.0 2p e 4p;22
924;Windstar GL;22
925;Windstar LX;22
